audio_id,url,latitude,longitude,length,date,time,recordist,main_scientific,main_common,all_scientific,all_common
894098,https://xeno-canto.org/894098,52.75,0.462,3:05,2024-03-31,07:00,Stuart Fisher,Aythya ferina,Common Pochard,"['Cyanistes caeruleus', 'Corvus corone', 'Parus major', 'Erithacus rubecula', 'Haematopus ostralegus', 'Columba oenas', 'Troglodytes troglodytes', 'Phylloscopus collybita', 'Periparus ater', 'Phasianus colchicus', 'Aythya ferina']","['Blue Tit', 'Carrion Crow', 'Great Tit', 'European Robin', 'European Oystercatcher', 'Stock Dove', 'Eurasian Wren', 'Common Chiffchaff', 'Coal Tit', 'Ring-necked Pheasant', 'Common Pochard']"
322459,https://xeno-canto.org/322459,31.84,-109.025,9:24,2015-04-25,06:43,Richard E. Webster,Callipepla gambelii,Gambel's Quail,"['Tyrannus verticalis', 'Icterus parisorum', 'Zenaida asiatica', 'Campylorhynchus brunneicapillus', 'Zenaida macroura', 'Vireo bellii', 'Streptopelia decaocto', 'Zonotrichia leucophrys', 'Myiarchus cinerascens', 'Quiscalus mexicanus', 'Tyrannus vociferans', 'Callipepla gambelii']","['Western Kingbird', ""Scott's Oriole"", 'White-winged Dove', 'Cactus Wren', 'Mourning Dove', ""Bell's Vireo"", 'Eurasian Collared-Dove', 'White-crowned Sparrow', 'Ash-throated Flycatcher', 'Great-tailed Grackle', ""Cassin's Kingbird"", ""Gambel's Quail""]"
561706,https://xeno-canto.org/561706,32.8706,-116.4247,9:49,2020-05-21,05:27,Paul Marvin,Meleagris gallopavo,Wild Turkey,"['Aphelocoma californica', 'Melanerpes formicivorus', 'Pipilo maculatus', 'Cyanocitta stelleri', 'Corvus corax', 'Sitta carolinensis', 'Poecile gambeli', 'Sialia mexicana', 'Tachycineta thalassina', 'Oreortyx pictus', 'Dryobates nuttallii', 'Meleagris gallopavo']","['California Scrub-Jay', 'Acorn Woodpecker', 'Spotted Towhee', ""Steller's Jay"", 'Common Raven', 'White-breasted Nuthatch', 'Mountain Chickadee', 'Western Bluebird', 'Violet-green Swallow', 'Mountain Quail', ""Nuttall's Woodpecker"", 'Wild Turkey']"
814146,https://xeno-canto.org/814146,48.4608,23.7458,56:57,2023-05-11,06:50,Cedric Mroczko,Tetrastes bonasia,Hazel Grouse,"['Regulus ignicapilla', 'Regulus regulus', 'Turdus viscivorus', 'Loxia curvirostra', 'Fringilla coelebs', 'Cuculus canorus', 'Turdus philomelos', 'Ficedula albicollis', 'Prunella modularis', 'Parus major', 'Erithacus rubecula', 'Aegithalos caudatus', 'Nucifraga caryocatactes', 'Turdus torquatus', 'Phylloscopus collybita', 'Spinus spinus', 'Periparus ater', 'Anthus trivialis', 'Certhia familiaris', 'Tetrastes bonasia']","['Common Firecrest', 'Goldcrest', 'Mistle Thrush', 'Red Crossbill', 'Chaffinch', 'Common Cuckoo', 'Song Thrush', 'Collared Flycatcher', 'Dunnock', 'Great Tit', 'European Robin', 'Long-tailed Tit', 'Eurasian Nutcracker', 'Ring Ouzel', 'Common Chiffchaff', 'Eurasian Siskin', 'Coal Tit', 'Tree Pipit', 'Treecreeper', 'Hazel Grouse']"
710291,https://xeno-canto.org/710291,32.8196,-114.4583,3:10,2021-05-14,04:43,Richard E. Webster,Chordeiles acutipennis,Lesser Nighthawk,"['Rallus obsoletus', 'Geothlypis trichas', 'Nycticorax nycticorax', 'Himantopus mexicanus', 'Gallinula galeata', 'Podilymbus podiceps', 'Fulica americana', 'Bubo virginianus', 'Rallus limicola', 'Quiscalus mexicanus', 'Chordeiles acutipennis']","[""Ridgway's Rail"", 'Common Yellowthroat', 'Black-crowned Night Heron', 'Black-necked Stilt', 'Common Gallinule', 'Pied-billed Grebe', 'American Coot', 'Great Horned Owl', 'Virginia Rail', 'Great-tailed Grackle', 'Lesser Nighthawk']"
463262,https://xeno-canto.org/463262,31.34,-109.273,8:36,2019-03-23,07:10,Richard E. Webster,Geococcyx californianus,Greater Roadrunner,"['Agelaius phoeniceus', 'Setophaga aestiva', 'Pyrocephalus obscurus', 'Dryobates scalaris', 'Turdus migratorius', 'Setophaga auduboni', 'Melanerpes uropygialis', 'Thryomanes bewickii', 'Leiothlypis luciae', 'Auriparus flaviceps', 'Geococcyx californianus']","['Red-winged Blackbird', '', '', 'Ladder-backed Woodpecker', 'American Robin', '', 'Gila Woodpecker', ""Bewick's Wren"", ""Lucy's Warbler"", 'Verdin', 'Greater Roadrunner']"
254807,https://xeno-canto.org/254807,31.84,-109.025,9:52,2015-05-30,06:15,Richard E. Webster,Geococcyx californianus,Greater Roadrunner,"['Icteria virens', 'Mimus polyglottos', 'Zenaida asiatica', 'Dryobates scalaris', 'Campylorhynchus brunneicapillus', 'Icterus bullockii', 'Zenaida macroura', 'Streptopelia decaocto', 'Callipepla gambelii', 'Myiarchus cinerascens', 'Tyrannus vociferans', 'Auriparus flaviceps', 'Geococcyx californianus']","['Yellow-breasted Chat', 'Northern Mockingbird', 'White-winged Dove', 'Ladder-backed Woodpecker', 'Cactus Wren', ""Bullock's Oriole"", 'Mourning Dove', 'Eurasian Collared-Dove', ""Gambel's Quail"", 'Ash-throated Flycatcher', ""Cassin's Kingbird"", 'Verdin', 'Greater Roadrunner']"
254806,https://xeno-canto.org/254806,31.84,-109.025,9:51,2015-05-30,06:27,Richard E. Webster,Geococcyx californianus,Greater Roadrunner,"['Tyrannus verticalis', 'Icteria virens', 'Toxostoma curvirostre', 'Mimus polyglottos', 'Zenaida asiatica', 'Corvus cryptoleucus', 'Zenaida macroura', 'Streptopelia decaocto', 'Cardinalis sinuatus', 'Callipepla gambelii', 'Myiarchus cinerascens', 'Leiothlypis luciae', 'Tyrannus vociferans', 'Auriparus flaviceps', 'Geococcyx californianus']","['Western Kingbird', 'Yellow-breasted Chat', 'Curve-billed Thrasher', 'Northern Mockingbird', 'White-winged Dove', 'Chihuahuan Raven', 'Mourning Dove', 'Eurasian Collared-Dove', 'Pyrrhuloxia', ""Gambel's Quail"", 'Ash-throated Flycatcher', ""Lucy's Warbler"", ""Cassin's Kingbird"", 'Verdin', 'Greater Roadrunner']"
254805,https://xeno-canto.org/254805,31.84,-109.025,10:05,2015-05-30,06:27,Richard E. Webster,Geococcyx californianus,Greater Roadrunner,"['Tyrannus verticalis', 'Icteria virens', 'Toxostoma curvirostre', 'Mimus polyglottos', 'Zenaida asiatica', 'Corvus cryptoleucus', 'Zenaida macroura', 'Streptopelia decaocto', 'Cardinalis sinuatus', 'Callipepla gambelii', 'Myiarchus cinerascens', 'Leiothlypis luciae', 'Tyrannus vociferans', 'Auriparus flaviceps', 'Geococcyx californianus']","['Western Kingbird', 'Yellow-breasted Chat', 'Curve-billed Thrasher', 'Northern Mockingbird', 'White-winged Dove', 'Chihuahuan Raven', 'Mourning Dove', 'Eurasian Collared-Dove', 'Pyrrhuloxia', ""Gambel's Quail"", 'Ash-throated Flycatcher', ""Lucy's Warbler"", ""Cassin's Kingbird"", 'Verdin', 'Greater Roadrunner']"
574155,https://xeno-canto.org/574155,51.1916,-2.788,11:04,2020-05-17,04:58,Alexander Henderson,Cuculus canorus,Common Cuckoo,"['Columba palumbus', 'Acrocephalus schoenobaenus', 'Turdus merula', 'Branta canadensis', 'Fulica atra', 'Corvus corone', 'Corvus frugilegus', 'Botaurus stellaris', 'Troglodytes troglodytes', 'Phylloscopus collybita', 'Phasianus colchicus', 'Tachybaptus ruficollis', 'Gallinula chloropus', 'Cuculus canorus']","['Wood Pigeon', 'Sedge Warbler', 'Eurasian Blackbird', 'Canada Goose', 'Eurasian Coot', 'Carrion Crow', 'Rook', 'Eurasian Bittern', 'Eurasian Wren', 'Common Chiffchaff', 'Ring-necked Pheasant', 'Little Grebe', 'Common Moorhen', 'Common Cuckoo']"
644062,https://xeno-canto.org/644062,44.1065,1.8838,13:04,2021-04-25,07:20,Cedric Mroczko,Columba palumbus,Common Wood Pigeon,"['Cyanistes caeruleus', 'Turdus viscivorus', 'Columba palumbus', 'Fringilla coelebs', 'Cuculus canorus', 'Phylloscopus trochilus', 'Sylvia atricapilla', 'Turdus merula', 'Lullula arborea', 'Luscinia megarhynchos', 'Corvus corax', 'Parus major', 'Erithacus rubecula', 'Aegithalos caudatus', 'Dendrocopos major', 'Garrulus glandarius', 'Anthus trivialis', 'Phasianus colchicus', 'Phylloscopus sibilatrix', 'Columba palumbus']","['Blue Tit', 'Mistle Thrush', 'Wood Pigeon', 'Chaffinch', 'Common Cuckoo', 'Willow Warbler', 'Blackcap', 'Eurasian Blackbird', 'Woodlark', 'Common Nightingale', 'Common Raven', 'Great Tit', 'European Robin', 'Long-tailed Tit', 'Great Spotted Woodpecker', 'Eurasian Jay', 'Tree Pipit', 'Ring-necked Pheasant', 'Wood Warbler', 'Common Wood Pigeon']"
612859,https://xeno-canto.org/612859,53.9299,-2.9833,5:09,2019-04-07,06:27,Chris Batty,Columba palumbus,Common Wood Pigeon,"['Turdus merula', 'Larus argentatus', 'Corvus corone', 'Corvus frugilegus', 'Anthus pratensis', 'Haematopus ostralegus', 'Troglodytes troglodytes', 'Tadorna tadorna', 'Larus canus', 'Sturnus vulgaris', 'Passer domesticus', 'Columba palumbus']","['Eurasian Blackbird', 'Herring Gull', 'Carrion Crow', 'Rook', 'Meadow Pipit', 'European Oystercatcher', 'Eurasian Wren', 'Common Shelduck', 'Common Gull', 'European Starling', 'House Sparrow', 'Common Wood Pigeon']"
725717,https://xeno-canto.org/725717,36.5498,51.1327,5:33,2022-04-20,06:25,Cedric Mroczko,Columba palumbus,Common Wood Pigeon,"['Cyanistes caeruleus', 'Ficedula parva', 'Columba palumbus', 'Fringilla coelebs', 'Turdus philomelos', 'Turdus merula', 'Sitta europaea', 'Erithacus rubecula', 'Phylloscopus nitidus', 'Troglodytes troglodytes', 'Periparus ater', 'Certhia familiaris', 'Columba palumbus']","['Blue Tit', 'Red-breasted Flycatcher', 'Wood Pigeon', 'Chaffinch', 'Song Thrush', 'Eurasian Blackbird', 'Eurasian Nuthatch', 'European Robin', 'Green Warbler', 'Eurasian Wren', 'Coal Tit', 'Treecreeper', 'Common Wood Pigeon']"
610419,https://xeno-canto.org/610419,31.906,-109.1543,3:23,2020-05-30,06:11,Richard E. Webster,Patagioenas fasciata,Band-tailed Pigeon,"['Lampornis clemenciae', 'Toxostoma curvirostre', 'Melanerpes formicivorus', 'Zenaida asiatica', 'Eugenes fulgens', 'Myiarchus tyrannulus', 'Campylorhynchus brunneicapillus', 'Icterus bullockii', 'Cardinalis cardinalis', 'Thryomanes bewickii', 'Callipepla gambelii', 'Myiarchus tuberculifer', 'Patagioenas fasciata']","['Blue-throated Hummingbird', 'Curve-billed Thrasher', 'Acorn Woodpecker', 'White-winged Dove', ""Rivoli's Hummingbird"", 'Brown-crested Flycatcher', 'Cactus Wren', ""Bullock's Oriole"", 'Northern Cardinal', ""Bewick's Wren"", ""Gambel's Quail"", 'Dusky-capped Flycatcher', 'Band-tailed Pigeon']"
447755,https://xeno-canto.org/447755,27.0633,-109.0398,4:52,2018-05-15,07:09,Richard E. Webster,Patagioenas flavirostris,Red-billed Pigeon,"['Ortalis wagleri', 'Zenaida asiatica', 'Tyrannus crassirostris', 'Myiarchus tyrannulus', 'Glaucidium brasilianum', 'Pheucticus chrysopeplus', 'Columbina passerina', 'Myiodynastes luteiventris', 'Melanerpes uropygialis', 'Forpus cyanopygius', 'Patagioenas flavirostris']","['Rufous-bellied Chachalaca', 'White-winged Dove', 'Thick-billed Kingbird', 'Brown-crested Flycatcher', 'Ferruginous Pygmy-Owl', 'Yellow Grosbeak', 'Common Ground-Dove', 'Sulphur-bellied Flycatcher', 'Gila Woodpecker', 'Mexican Parrotlet', 'Red-billed Pigeon']"
